0.000000	0.644000
0.100000	0.103500
0.200000	0.035400
0.300000	0.027800
0.400000	0.016000
0.500000	0.011900
0.600000	0.009800
0.700000	0.009300
0.800000	0.009400
0.900000	0.012000
1.000000	0.013500
1.100000	0.014000
1.200000	0.015900
1.300000	0.018300
1.400000	0.017800
1.500000	0.019000
1.600000	0.007300
1.700000	0.001500
1.800000	0.000800
1.900000	0.001500
2.000000	0.001400
2.100000	0.000600
2.200000	0.002200
2.300000	0.001300
2.400000	0.000900
2.500000	0.000700
2.600000	0.000500
2.700000	0.000100
2.800000	0.000200
2.900000	0.000100
3.000000	0.000100
3.100000	0.000200
3.300000	0.000200
3.500000	0.000100
3.700000	0.000200
4.400000	0.000100
4.600000	0.000200
5.000000	0.000100
5.100000	0.000100
5.200000	0.000100
5.500000	0.000100
5.700000	0.000100
5.800000	0.000200
5.900000	0.000100
6.200000	0.000100
7.000000	0.000100
8.500000	0.000200
8.900000	0.000200
9.100000	0.000100
9.400000	0.000100
9.500000	0.000100
15.600000	0.000100
17.400000	0.000100
17.700000	0.000100
23.000000	0.000100
28.700000	0.000100
