CId,Mean,Median,P99,TMedian,TP99,Error,Count
41552,685.00,694.00,775.00,694.00,781.00,0.77,21.00
22195,45713.30,597.50,1492338.50,597.50,1493024.60,0.05,834.00
40660,842.48,761.50,2139.50,761.50,2151.00,0.54,54.00
40664,786.77,694.00,1898.50,694.00,1993.00,4.98,320.00
41019,829.75,758.50,2062.50,758.50,2459.32,19.24,324.00
41359,714.65,731.50,918.00,731.50,920.56,0.28,84.00
70240,579.56,582.50,1093.00,582.50,1093.30,0.03,1220.00
41709,630.67,651.00,712.50,651.00,716.00,0.49,15.00
22791,1128.64,562.50,4629.00,562.50,8587.00,85.50,14.00
21403,40152.71,626.50,1528939.50,626.50,1529405.08,0.03,846.00
220,9273.42,727.00,50905.00,727.00,288986.58,467.70,219.00
12108,511.00,511.00,511.00,511.00,511.00,0.00,1.00
1008,1142.87,800.00,2797.00,800.30,2797.99,0.04,13201.00
40169,740.84,622.00,2380.00,622.00,2406.48,1.11,729.00
70001,698.89,592.00,4133.50,592.20,4133.65,0.00,5097.00
89,670.07,659.00,915.00,659.00,915.00,0.00,570.00
41637,577.88,586.00,630.50,586.00,637.70,1.14,52.00
10260,689.00,693.00,761.00,693.00,777.00,2.10,15.00
18,668.62,661.00,874.50,661.00,875.04,0.06,294.00
41268,905.00,905.00,905.00,905.00,905.00,0.00,1.00
33,596.00,581.00,959.50,581.00,1210.00,26.11,40.00
373,568.15,560.00,656.50,560.00,715.00,8.91,20.00
203,767.11,683.00,1057.50,683.00,1146.00,8.37,9.00
20268,29948.99,692.00,1127535.50,691.96,1127894.52,0.03,14381.00
40487,1022.63,565.00,3363.00,564.93,3363.62,0.02,16680.00
11638,1047.24,611.00,3311.00,611.00,3338.54,0.83,99.00
12261,705.14,671.00,1299.50,671.00,1336.00,2.81,21.00
1178,577.61,631.00,760.00,631.00,760.60,0.08,270.00
20282,23721.61,565.00,548712.00,565.00,548738.46,0.00,51.00
12082,1072.14,837.00,2510.50,837.00,2580.50,2.79,260.00
11683,1603.81,819.00,2562.50,818.88,2563.00,0.02,3229.00
516,678.00,680.00,682.50,680.00,683.00,0.07,6.00
12989,655.29,637.00,708.50,637.00,728.00,2.75,7.00
22760,592.50,567.00,691.50,567.00,716.00,3.54,6.00
299,2163.83,929.00,5673.50,928.76,5674.20,0.01,56657.00
11996,2658.56,1063.00,5443.00,1063.25,5446.80,0.07,9920.00
41658,482.37,488.00,619.50,488.00,623.94,0.72,103.00
237,697.33,689.00,973.50,689.00,974.08,0.06,442.00
240,668.56,642.50,982.00,642.50,982.96,0.10,52.00
547,815.04,735.00,1383.50,735.00,1446.00,4.52,27.00
401,739.57,741.00,821.50,741.00,866.00,5.42,7.00
12309,958.13,659.00,9087.50,659.00,9117.75,0.33,575.00
12487,9838.54,764.00,277233.50,764.00,492549.77,77.67,61.00
10751,651.00,659.00,761.50,659.00,766.00,0.59,17.00
40077,2815.65,687.00,3450.50,687.00,3516.65,1.92,565.00
