CId,Mean,Median,P99,TMedian,TP99,Error,Count
40145,922.34,715.00,2672.50,714.88,2673.00,0.02,1443.00
322,582.14,566.00,1028.00,566.00,1035.50,0.73,2275.00
20191,14102.25,571.00,612788.00,571.33,660072.02,7.72,1973.00
40399,697.81,699.00,933.50,699.00,942.95,1.01,673.00
10712,627.83,624.50,682.00,624.50,683.00,0.15,6.00
35,591.12,601.00,1490.50,601.00,1503.83,0.89,969.00
10506,600.20,473.50,5608.50,473.50,8395.30,49.69,60.00
10436,539.00,539.00,539.00,539.00,539.00,0.00,1.00
41601,3864.68,705.00,2222.00,705.00,2222.00,0.00,1091.00
20343,39120.97,577.00,1272223.00,577.00,1382244.04,8.65,138.00
12778,591.17,624.00,746.50,624.00,816.00,9.31,24.00
11225,1552.07,1750.00,3956.50,1750.17,3957.00,0.01,2108.00
12244,763.18,627.00,1646.00,627.00,2111.00,28.25,11.00
466,570.67,562.00,616.50,562.00,622.00,0.89,9.00
12240,1668.12,1164.50,3108.00,1164.30,3108.00,0.00,3662.00
11997,1507.46,587.00,1213.00,587.00,1218.40,0.45,585.00
10390,824.60,822.50,1059.50,822.50,1139.00,7.50,10.00
12257,545.00,545.00,545.00,545.00,545.00,0.00,1.00
117,12147.60,9934.00,30151.00,9934.51,30150.72,0.00,162069.00
22541,29458.34,575.00,1031192.50,575.00,1031753.21,0.05,3153.00
125,864.43,837.00,1660.50,836.80,1660.94,0.03,21999.00
98,745.62,706.50,988.50,706.50,1252.00,26.66,8.00
70158,538.20,546.00,793.00,546.00,806.00,1.64,75.00
41448,861.34,586.00,1059.50,586.44,1062.18,0.25,4432.00
12060,1941.55,800.00,3092.00,800.00,3129.60,1.22,453.00
40099,1077.54,807.00,1770.50,807.00,1772.00,0.08,46.00
41125,856.33,777.00,948.50,777.00,1120.00,18.08,3.00
41156,573.40,604.50,730.00,604.50,732.16,0.30,182.00
332,1792.43,891.00,3260.00,890.78,3260.00,0.00,6088.00
12184,666.04,550.00,1521.00,550.00,1522.00,0.07,24.00
10729,522.00,522.00,522.00,522.00,664.00,27.20,2.00
184,4276.75,561.00,838.00,561.00,840.00,0.24,1433.00
22532,29133.28,603.00,693117.50,603.00,826949.42,19.31,76.00
12002,637.50,637.50,637.50,637.50,639.00,0.24,2.00
11167,3153.71,709.00,2484.00,709.01,2503.67,0.79,14575.00
20220,5143.98,640.00,23836.00,639.75,27658.00,16.03,1510.00
40873,580.50,572.50,598.00,572.50,622.00,4.01,4.00
40405,655.94,620.00,765.50,620.00,769.00,0.46,18.00
77,1044.39,623.00,1006.00,622.91,1005.66,0.03,9067.00
40254,1185.99,829.00,6503.00,828.92,6503.60,0.01,3185.00
10301,666.82,676.50,1775.50,676.50,1889.90,6.44,184.00
40272,840.40,775.00,1307.50,775.00,1326.00,1.41,25.00
21634,2287.32,574.00,25436.00,574.00,25437.52,0.01,681.00
21863,22135.43,580.00,877456.00,580.00,888442.72,1.25,392.00
361,679.60,653.00,1474.00,653.00,1479.29,0.36,137.00
10464,2006.91,538.00,2748.50,537.61,2779.89,1.14,3941.00
70137,883.11,501.00,1329.50,500.75,1334.84,0.40,9713.00
618,845.83,895.50,1053.50,895.50,1092.00,3.65,6.00
11161,566.33,588.00,599.00,588.00,610.00,1.84,3.00
12056,2656.91,587.00,3087.00,587.33,3143.34,1.83,4248.00
377,9904.22,677.00,509779.00,677.00,518426.18,1.70,332.00
41659,619.08,575.00,808.00,575.00,825.00,2.10,13.00
40665,587.00,587.00,587.00,587.00,587.00,0.00,1.00
40623,562.00,562.00,562.00,562.00,562.00,0.00,1.00
474,773.53,566.00,840.50,565.88,840.83,0.04,2889.00
12220,9680.65,1154.00,373823.00,1154.00,454676.74,21.63,89.00
40125,2178.57,1677.00,5955.00,1676.92,5955.70,0.01,17745.00
10460,502.56,526.00,638.00,526.00,639.08,0.17,73.00
41592,572.29,607.50,1497.50,607.50,1499.32,0.12,1246.00
40383,653.22,663.50,731.00,663.50,732.00,0.14,18.00
40223,708.83,581.00,2764.50,581.00,2912.30,5.35,139.00
10275,2822.94,663.00,1724.50,662.91,1734.12,0.56,15696.00
733,643.24,606.50,1379.00,606.50,1506.60,9.25,178.00
197,683.80,697.00,866.50,697.00,919.40,6.11,210.00
341,642.00,648.00,723.00,648.00,735.00,1.66,9.00
87,1423.42,1053.00,4082.50,1053.76,4082.83,0.01,16701.00
423,1825.62,631.00,9914.50,631.08,9939.00,0.25,3650.00
12536,1039.73,731.00,6573.00,731.00,11043.30,68.01,55.00
273,622.37,661.00,779.00,661.00,779.00,0.00,251.00
149,636.00,667.00,670.00,667.00,673.00,0.45,3.00
21969,46561.38,601.00,1476125.50,601.14,1476542.10,0.03,5035.00
20891,20176.21,587.00,969778.50,587.00,969816.27,0.00,99.00
40622,1361.47,685.00,2016.50,684.56,2016.53,0.00,2897.00
22283,7490.50,545.00,23231.00,545.00,23417.20,0.80,1751.00
40657,766.00,766.00,766.00,766.00,776.00,1.31,2.00
10759,2240.52,1426.00,2753.50,1421.92,2761.11,0.28,9529.00
878,594.32,595.00,645.50,595.00,680.00,5.34,22.00
11144,2335.19,452.00,978.50,452.00,71576.60,7214.93,215.00
40561,570.31,571.00,691.00,571.00,704.00,1.88,16.00
90,1292.94,620.00,14400.50,619.82,14432.00,0.22,4823.00
130,624.99,597.00,1119.50,596.60,1119.81,0.03,15483.00
132,518.51,521.00,728.50,521.00,728.70,0.03,1080.00
20542,16519.04,680.00,353485.50,680.00,353491.74,0.00,952.00
10691,553.00,529.00,602.00,529.00,662.00,9.97,4.00
11083,733.22,597.50,2886.50,597.50,4670.00,61.79,36.00
483,2155.71,710.00,1014.00,710.00,1022.10,0.80,520.00
70201,568.04,566.00,1574.00,566.00,1575.84,0.12,277.00
12850,558.53,553.50,673.50,553.50,678.00,0.67,32.00
41235,6677.19,644.50,3281.00,644.50,3866.76,17.85,272.00
22504,6408.30,565.00,22460.50,565.00,23023.12,2.50,1111.00
40707,1132.11,809.00,4807.00,809.00,4807.00,0.00,793.00
20713,18163.92,556.00,125810.00,556.00,133385.96,6.02,71.00
418,1050.21,571.00,1653.00,571.00,1653.00,0.00,1224.00
21383,752.00,713.50,930.00,713.50,1017.00,9.35,4.00
135,680.00,680.00,680.00,680.00,680.00,0.00,1.00
1156,643.95,549.00,5519.50,549.00,7701.85,39.54,833.00
95,548.50,511.50,901.00,511.50,905.04,0.45,946.00
20797,1880.81,715.00,25763.00,715.00,41694.78,61.84,59.00
121,673.20,638.00,1842.00,638.12,1852.96,0.60,2936.00
12797,708.19,689.00,941.50,689.00,1124.00,19.38,21.00
12890,6136.08,607.00,4221.50,607.00,4225.67,0.10,697.00
442,934.05,735.50,1633.00,735.44,1653.50,1.26,2420.00
10199,562.50,562.50,562.50,562.50,563.00,0.09,2.00
11604,4015.04,637.50,2570.00,637.50,3195.30,24.33,212.00
906,692.30,617.00,1403.00,617.00,1454.00,3.64,43.00
12919,606.80,569.00,715.50,569.00,750.00,4.82,5.00
22229,23946.76,870.00,568455.50,869.62,568580.17,0.02,1287.00
21655,73354.57,547.00,765039.50,547.00,1529473.00,99.92,21.00
21144,43136.85,684.00,1522855.50,684.00,1522861.35,0.00,287.00
351,4311.25,563.00,685.00,563.00,688.00,0.44,522.00
21816,44732.70,483.00,1571967.00,483.00,1609603.78,2.39,71.00
20597,38393.65,653.00,1471762.00,653.00,1476585.75,0.33,413.00
10049,647.38,588.00,870.50,588.00,871.00,0.06,13.00
8,611.00,673.00,692.00,673.00,693.00,0.14,7.00
40770,565.16,567.00,645.00,567.00,680.00,5.43,25.00
41271,738.25,754.00,757.50,754.00,758.00,0.07,4.00
41544,639.33,630.50,860.00,630.50,877.00,1.98,18.00
408,621.30,607.00,720.00,607.00,730.00,1.39,10.00
40037,662.21,607.00,1444.50,607.00,1549.00,7.23,34.00
20538,266862.81,507.00,1862035.00,507.00,1886390.72,1.31,81.00
21711,420486.00,420486.00,420525.00,420486.00,420538.00,0.00,4.00
20562,41483.96,619.00,1247595.50,618.71,1245592.07,0.16,40098.00
12916,676.10,590.00,1112.00,590.00,1112.00,0.00,1354.00
485,587.64,555.00,1367.00,555.00,1470.22,7.55,127.00
40777,677.75,686.50,800.50,686.50,834.00,4.18,8.00
20041,33545.95,546.00,1102191.50,546.00,1102220.00,0.00,450.00
12774,687.11,725.00,754.00,725.00,756.00,0.27,19.00
696,613.08,607.00,675.00,607.00,676.00,0.15,39.00
40498,617.80,671.00,790.50,671.00,793.29,0.35,169.00
11537,638.56,656.00,679.50,656.00,680.00,0.07,9.00
11921,2566.00,2566.00,2566.00,2566.00,4547.00,77.20,2.00
962,709.00,709.00,709.00,709.00,709.00,0.00,1.00
10784,573.85,573.00,1074.00,573.00,1075.32,0.12,78.00
10155,1820.10,796.00,1509.00,795.61,1509.00,0.00,5124.00
40677,1147.43,897.00,5250.00,896.38,5250.00,0.00,2550.00
70148,559.93,561.00,858.00,561.00,896.62,4.50,239.00
886,592.95,591.00,728.00,591.00,752.00,3.30,40.00
41563,594.56,573.00,701.00,573.00,704.04,0.43,62.00
234,1023.91,488.00,35442.50,488.00,35444.20,0.00,1866.00
11961,640.42,594.50,1123.50,594.50,1175.00,4.58,24.00
83,527.69,574.00,1617.00,574.00,1632.02,0.93,707.00
380,1628.05,648.50,4034.50,648.50,4453.22,10.38,104.00
372,771.20,768.00,819.00,768.00,866.00,5.74,5.00
21133,726.67,698.00,752.50,698.00,807.00,7.24,3.00
12096,613.12,597.00,1029.00,597.00,1332.00,29.45,17.00
10584,592.33,597.00,604.50,597.00,605.00,0.08,6.00
12775,583.36,584.50,753.50,584.50,755.70,0.29,56.00
12462,644.55,559.00,2981.50,559.00,3005.72,0.81,226.00
40719,686.00,686.00,686.00,686.00,686.00,0.00,1.00
12998,1385.95,912.00,4136.50,912.00,4149.45,0.31,265.00
626,653.88,605.00,781.00,605.00,793.00,1.54,16.00
11134,508.50,508.50,508.50,508.50,566.00,11.31,2.00
70146,734.98,700.50,2901.50,700.50,4488.00,54.68,62.00
566,740.50,740.50,740.50,740.50,761.00,2.77,2.00
34,505.00,561.00,562.50,561.00,564.00,0.27,3.00
10607,2590.94,563.00,3939.00,563.00,4415.50,12.10,275.00
303,567.15,560.50,641.50,560.50,662.00,3.20,40.00
145,4782.82,567.00,23997.50,567.00,47317.00,97.17,11.00
175,729.09,659.00,5551.00,659.00,5833.31,5.09,423.00
12947,600.88,602.00,681.00,602.00,732.00,7.49,8.00
20883,554.21,552.00,753.50,552.00,755.03,0.20,247.00
11660,575.10,556.00,1045.50,556.00,1047.97,0.24,81.00
20818,1237.01,586.00,23092.50,586.00,32266.25,39.73,75.00
10847,625.70,579.50,834.00,579.50,890.12,6.73,54.00
463,604.05,605.50,632.50,605.50,633.58,0.17,64.00
41422,1026.60,609.00,1008.00,609.38,1008.50,0.05,2600.00
22160,17607.49,577.00,526597.50,577.00,629326.72,19.51,178.00
11383,904.45,851.00,1734.00,851.44,1735.26,0.07,2179.00
21360,198599.12,548.50,1786654.50,548.50,1787093.40,0.02,234.00
462,495.25,505.00,779.50,505.00,790.30,1.39,160.00
40835,2368.83,3134.50,3528.00,3134.50,3535.00,0.20,24.00
11410,2543.31,799.00,2117.50,799.08,2118.70,0.06,4136.00
40339,1024.16,772.00,4071.50,772.00,4078.89,0.18,123.00
20247,5641.08,645.50,77013.00,645.50,77158.92,0.19,152.00
20994,712.89,648.00,1043.00,648.00,1390.00,33.27,9.00
40552,800.00,625.50,1496.50,625.50,2342.00,56.50,10.00
12107,645.94,687.50,1141.50,687.50,1188.00,4.07,50.00
22424,605.00,602.00,657.50,602.00,713.00,8.44,3.00
11951,568.00,568.00,568.00,568.00,568.00,0.00,1.00
21747,598.95,576.00,903.00,576.00,927.00,2.66,19.00
12908,698.95,661.00,1355.00,661.00,1360.22,0.39,771.00
13032,630.00,630.00,630.00,630.00,630.00,0.00,1.00
10361,634.62,585.00,978.00,585.00,978.96,0.10,97.00
40465,614.67,576.50,2282.50,576.50,2356.90,3.26,452.00
70230,580.69,615.00,695.50,615.00,721.03,3.67,123.00
21430,10704.08,608.00,27415.50,608.00,27468.60,0.19,1370.00
12165,674.43,664.00,1375.00,664.00,1832.00,33.24,42.00
99,602.21,606.00,790.00,606.00,793.76,0.48,249.00
76,590.90,619.00,722.50,619.00,724.00,0.21,49.00
10280,1908.20,678.00,1362.50,677.62,1363.09,0.04,4041.00
11574,579.72,581.00,632.00,581.00,632.00,0.00,29.00
657,600.00,600.00,600.00,600.00,600.00,0.00,1.00
40497,601.25,590.00,628.00,590.00,651.00,3.66,4.00
11562,9416.51,652.00,440744.00,652.00,440745.80,0.00,1270.00
12502,1066.09,866.00,1508.50,866.00,1511.62,0.21,76.00
511,737.90,709.00,1111.00,709.00,1260.00,13.41,21.00
10263,392.00,392.00,392.00,392.00,392.00,0.00,1.00
70120,643.20,661.00,671.00,661.00,673.00,0.30,5.00
21589,52604.37,653.00,494255.00,653.00,987640.00,99.82,19.00
362,794.44,777.50,1032.00,777.50,1048.00,1.55,16.00
20002,14457.33,601.00,637083.00,601.00,638726.18,0.26,8066.00
70224,724.84,688.00,906.00,688.00,907.84,0.20,108.00
21501,43746.04,549.00,1153318.50,549.00,1254887.23,8.81,2171.00
70182,681.50,682.50,684.50,682.50,685.00,0.07,4.00
