"@timestamp",cId,StartTs,Duration
"2023-06-09T21:15:24.500528202Z",369,1686345321978,874
"2023-06-09T21:15:24.495877753Z",369,1686345321978,780
"2023-06-09T21:15:24.488354686Z",369,1686345321978,786
"2023-06-09T21:15:23.726428534Z",369,1686345321978,777
"2023-06-09T21:15:23.726424422Z",369,1686345321978,493
"2023-06-09T21:15:24.193175907Z",40487,1686345322595,625
"2023-06-09T21:15:24.188647215Z",40487,1686345322595,630
"2023-06-09T21:15:23.495063933Z",369,1686345321978,774
"2023-06-09T21:15:23.495057021Z",369,1686345321978,499
"2023-06-09T21:15:23.485347143Z",369,1686345321978,476
"2023-06-09T21:15:23.371578943Z",369,1686345321978,473
"2023-06-09T21:15:23.371574750Z",369,1686345321978,395
"2023-06-09T21:15:23.371572253Z",369,1686345321978,386
"2023-06-09T21:15:23.336870054Z",369,1686345321978,827
"2023-06-09T21:15:23.336866316Z",369,1686345321978,783
"2023-06-09T21:15:23.336864298Z",369,1686345321978,774
"2023-06-09T21:15:23.336858720Z",369,1686345321978,386
"2023-06-09T21:15:23.336856608Z",369,1686345321978,378
"2023-06-09T21:15:23.452386553Z",40487,1686345322595,622
"2023-06-09T21:15:23.452384570Z",40487,1686345322595,621
"2023-06-09T21:15:22.495500694Z",369,1686345321978,487
"2023-06-09T21:15:22.495495573Z",369,1686345321978,393
"2023-06-09T21:15:22.495493795Z",369,1686345321978,390
"2023-06-09T21:15:22.386486547Z",369,1686345321978,387
"2023-06-09T21:15:22.386484707Z",369,1686345321978,386
"2023-06-09T21:15:22.386483007Z",369,1686345321978,380
"2023-06-09T21:15:22.386465651Z",988,1686345320864,661
"2023-06-09T21:15:22.386462034Z",988,1686345320864,561
"2023-06-09T21:15:22.372042780Z",369,1686345321978,380
"2023-06-09T21:15:23.215469853Z",38,1686345319122,545
"2023-06-09T21:15:22.499102697Z",369,1686345321978,473
"2023-06-09T21:15:22.499099009Z",369,1686345321978,387
"2023-06-09T21:18:02.274340843Z",87,1686345480673,546
"2023-06-09T21:17:58.449317190Z",77,1686345476962,568
"2023-06-09T21:17:58.299115288Z",77,1686345476855,503
"2023-06-09T21:17:58.386327090Z",77,1686345477328,564
"2023-06-09T21:17:58.299119458Z",77,1686345477467,494
"2023-06-09T21:17:47.473633143Z",70151,1686345465961,698
"2023-06-09T21:17:47.473628075Z",70151,1686345465961,603
"2023-06-09T21:17:37.490480851Z",773,1686345455840,734
"2023-06-09T21:17:37.440545972Z",773,1686345455840,635
"2023-06-09T21:17:37.387110010Z",773,1686345455840,746
"2023-06-09T21:17:37.387108270Z",773,1686345455840,740
"2023-06-09T21:17:37.387099158Z",773,1686345455840,671
"2023-06-09T21:17:36.430404137Z",40543,1686345455156,549
"2023-06-09T21:17:36.397476576Z",40125,1686345453023,2715
